id,stock_number,timestamp,size_id,product_type_id
1,3,2024-05-15 19:02:23.467007+00,15,1561
2,9,2024-05-15 19:02:23.467007+00,16,1561
3,5,2024-05-15 19:02:23.467007+00,12,1561
4,10,2024-05-15 19:02:23.467007+00,13,1561
5,1,2024-05-15 19:02:23.467007+00,14,1561
6,6,2024-05-15 19:02:23.467007+00,17,1561
7,6,2024-05-15 19:02:23.467007+00,18,1597
8,8,2024-05-15 19:02:23.467007+00,18,1598
9,7,2024-05-15 19:02:23.467007+00,18,1599
10,2,2024-05-15 19:02:23.467007+00,12,1609
11,6,2024-05-15 19:02:23.467007+00,13,1609
12,8,2024-05-15 19:02:23.467007+00,14,1609
13,2,2024-05-15 19:02:23.467007+00,15,1609
14,1,2024-05-15 19:02:23.467007+00,16,1609
15,3,2024-05-15 19:02:23.467007+00,17,1609
16,7,2024-05-15 19:02:23.467007+00,12,1651
17,3,2024-05-15 19:02:23.467007+00,13,1651
18,5,2024-05-15 19:02:23.467007+00,14,1651
19,4,2024-05-15 19:02:23.467007+00,15,1651
20,6,2024-05-15 19:02:23.467007+00,16,1651
21,7,2024-05-15 19:02:23.467007+00,17,1651
22,10,2024-05-15 19:02:23.467007+00,1,1730
23,8,2024-05-15 19:02:23.467007+00,2,1730
24,1,2024-05-15 19:02:23.467007+00,3,1730
25,7,2024-05-15 19:02:23.467007+00,4,1730
26,2,2024-05-15 19:02:23.467007+00,5,1730
27,8,2024-05-15 19:02:23.467007+00,6,1730
28,9,2024-05-15 19:02:23.467007+00,7,1730
29,7,2024-05-15 19:02:23.467007+00,8,1730
30,7,2024-05-15 19:02:23.467007+00,9,1730
31,2,2024-05-15 19:02:23.467007+00,10,1730
32,7,2024-05-15 19:02:23.467007+00,11,1730
33,5,2024-05-15 19:02:23.467007+00,1,1731
34,1,2024-05-15 19:02:23.467007+00,2,1731
35,2,2024-05-15 19:02:23.467007+00,3,1731
36,6,2024-05-15 19:02:23.467007+00,4,1731
37,3,2024-05-15 19:02:23.467007+00,5,1731
38,5,2024-05-15 19:02:23.467007+00,6,1731
39,2,2024-05-15 19:02:23.467007+00,7,1731
40,10,2024-05-15 19:02:23.467007+00,8,1731
41,1,2024-05-15 19:02:23.467007+00,9,1731
42,10,2024-05-15 19:02:23.467007+00,10,1731
43,4,2024-05-15 19:02:23.467007+00,11,1731
44,2,2024-05-15 19:02:23.467007+00,12,1762
45,1,2024-05-15 19:02:23.467007+00,13,1762
46,1,2024-05-15 19:02:23.467007+00,14,1762
47,9,2024-05-15 19:02:23.467007+00,15,1762
48,10,2024-05-15 19:02:23.467007+00,16,1762
49,8,2024-05-15 19:02:23.467007+00,17,1762
50,7,2024-05-15 19:02:23.467007+00,12,1765
51,6,2024-05-15 19:02:23.467007+00,13,1765
52,10,2024-05-15 19:02:23.467007+00,14,1765
53,4,2024-05-15 19:02:23.467007+00,15,1765
54,6,2024-05-15 19:02:23.467007+00,16,1765
55,6,2024-05-15 19:02:23.467007+00,17,1765
56,8,2024-05-15 19:02:23.467007+00,12,1809
57,2,2024-05-15 19:02:23.467007+00,13,1809
58,9,2024-05-15 19:02:23.467007+00,14,1809
59,6,2024-05-15 19:02:23.467007+00,15,1809
60,2,2024-05-15 19:02:23.467007+00,16,1809
61,2,2024-05-15 19:02:23.467007+00,17,1809
62,9,2024-05-15 19:02:23.467007+00,1,1923
63,6,2024-05-15 19:02:23.467007+00,2,1923
64,5,2024-05-15 19:02:23.467007+00,3,1923
65,10,2024-05-15 19:02:23.467007+00,4,1923
66,7,2024-05-15 19:02:23.467007+00,5,1923
67,8,2024-05-15 19:02:23.467007+00,6,1923
68,9,2024-05-15 19:02:23.467007+00,7,1923
69,3,2024-05-15 19:02:23.467007+00,8,1923
70,10,2024-05-15 19:02:23.467007+00,9,1923
71,3,2024-05-15 19:02:23.467007+00,10,1923
72,1,2024-05-15 19:02:23.467007+00,11,1923
73,10,2024-05-15 19:02:23.467007+00,1,1932
74,9,2024-05-15 19:02:23.467007+00,2,1932
75,10,2024-05-15 19:02:23.467007+00,3,1932
76,2,2024-05-15 19:02:23.467007+00,4,1932
77,10,2024-05-15 19:02:23.467007+00,5,1932
78,2,2024-05-15 19:02:23.467007+00,6,1932
79,3,2024-05-15 19:02:23.467007+00,7,1932
80,1,2024-05-15 19:02:23.467007+00,8,1932
81,5,2024-05-15 19:02:23.467007+00,9,1932
82,10,2024-05-15 19:02:23.467007+00,10,1932
83,9,2024-05-15 19:02:23.467007+00,11,1932
84,8,2024-05-15 19:02:23.467007+00,1,1937
85,9,2024-05-15 19:02:23.467007+00,2,1937
86,4,2024-05-15 19:02:23.467007+00,3,1937
87,10,2024-05-15 19:02:23.467007+00,4,1937
88,10,2024-05-15 19:02:23.467007+00,5,1937
89,3,2024-05-15 19:02:23.467007+00,6,1937
90,8,2024-05-15 19:02:23.467007+00,7,1937
91,9,2024-05-15 19:02:23.467007+00,8,1937
92,10,2024-05-15 19:02:23.467007+00,9,1937
93,6,2024-05-15 19:02:23.467007+00,10,1937
94,2,2024-05-15 19:02:23.467007+00,11,1937
95,4,2024-05-15 19:02:23.467007+00,18,1939
96,7,2024-05-15 19:02:23.467007+00,18,1941
97,5,2024-05-15 19:02:23.467007+00,1,1951
98,7,2024-05-15 19:02:23.467007+00,2,1951
99,8,2024-05-15 19:02:23.467007+00,3,1951
100,2,2024-05-15 19:02:23.467007+00,4,1951
101,10,2024-05-15 19:02:23.467007+00,5,1951
102,5,2024-05-15 19:02:23.467007+00,6,1951
103,7,2024-05-15 19:02:23.467007+00,7,1951
104,1,2024-05-15 19:02:23.467007+00,8,1951
105,1,2024-05-15 19:02:23.467007+00,9,1951
106,10,2024-05-15 19:02:23.467007+00,10,1951
107,10,2024-05-15 19:02:23.467007+00,11,1951
108,7,2024-05-15 19:02:23.467007+00,12,1978
109,5,2024-05-15 19:02:23.467007+00,13,1978
110,7,2024-05-15 19:02:23.467007+00,14,1978
111,3,2024-05-15 19:02:23.467007+00,15,1978
112,1,2024-05-15 19:02:23.467007+00,16,1978
113,8,2024-05-15 19:02:23.467007+00,17,1978
114,3,2024-05-15 19:02:23.467007+00,12,1984
115,10,2024-05-15 19:02:23.467007+00,13,1984
116,4,2024-05-15 19:02:23.467007+00,14,1984
117,3,2024-05-15 19:02:23.467007+00,15,1984
118,1,2024-05-15 19:02:23.467007+00,16,1984
119,6,2024-05-15 19:02:23.467007+00,17,1984
120,9,2024-05-15 19:02:23.467007+00,12,1985
121,8,2024-05-15 19:02:23.467007+00,13,1985
122,2,2024-05-15 19:02:23.467007+00,14,1985
123,6,2024-05-15 19:02:23.467007+00,15,1985
124,10,2024-05-15 19:02:23.467007+00,16,1985
125,9,2024-05-15 19:02:23.467007+00,17,1985
126,7,2024-05-15 19:02:23.467007+00,12,1986
127,10,2024-05-15 19:02:23.467007+00,13,1986
128,3,2024-05-15 19:02:23.467007+00,14,1986
129,3,2024-05-15 19:02:23.467007+00,15,1986
130,10,2024-05-15 19:02:23.467007+00,16,1986
131,3,2024-05-15 19:02:23.467007+00,17,1986
132,5,2024-05-15 19:02:23.467007+00,12,1988
133,7,2024-05-15 19:02:23.467007+00,13,1988
134,6,2024-05-15 19:02:23.467007+00,14,1988
